Entity,Code,Year,Minimum Arctic sea ice extent,Maximum Arctic sea ice extent
Arctic Ocean,,1979,7.051,16.175
Arctic Ocean,,1980,7.667,15.955
Arctic Ocean,,1981,7.138,15.604
Arctic Ocean,,1982,7.302,15.974
Arctic Ocean,,1983,7.395,16.006
Arctic Ocean,,1984,6.805,15.299
Arctic Ocean,,1985,6.698,15.466
Arctic Ocean,,1986,7.411,15.785
Arctic Ocean,,1987,7.279,16.05
Arctic Ocean,,1988,7.369,15.583
Arctic Ocean,,1989,7.008,15.495
Arctic Ocean,,1990,6.143,15.578
Arctic Ocean,,1991,6.473,15.249
Arctic Ocean,,1992,7.474,15.462
Arctic Ocean,,1993,6.397,15.686
Arctic Ocean,,1994,7.138,15.562
Arctic Ocean,,1995,6.08,15.226
Arctic Ocean,,1996,7.583,15.155
Arctic Ocean,,1997,6.686,15.437
Arctic Ocean,,1998,6.536,15.746
Arctic Ocean,,1999,6.117,15.309
Arctic Ocean,,2000,6.246,15.141
Arctic Ocean,,2001,6.732,15.211
Arctic Ocean,,2002,5.827,15.342
Arctic Ocean,,2003,6.116,15.193
Arctic Ocean,,2004,5.984,14.914
Arctic Ocean,,2005,5.504,14.373
Arctic Ocean,,2006,5.862,14.325
Arctic Ocean,,2007,4.267,14.513
Arctic Ocean,,2008,4.687,14.953
Arctic Ocean,,2009,5.262,14.812
Arctic Ocean,,2010,4.865,14.581
Arctic Ocean,,2011,4.561,14.363
Arctic Ocean,,2012,3.566,14.553
Arctic Ocean,,2013,5.208,14.723
Arctic Ocean,,2014,5.22,14.418
Arctic Ocean,,2015,4.616,14.401
Arctic Ocean,,2016,4.528,14.203
Arctic Ocean,,2017,4.822,14.12
Arctic Ocean,,2018,4.785,13.967
Arctic Ocean,,2019,4.364,14.394
Arctic Ocean,,2020,4.001,14.642
Arctic Ocean,,2021,4.952,14.39
Arctic Ocean,,2022,4.897,14.612
Arctic Ocean,,2023,4.371,14.176
Arctic Ocean,,2024,4.379,14.607